GENDER,AGEGRP1,NGROUP,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
3,3,2,3000,2,2,0,12,39
1,1,4,5000.01,1,3,1,8,9
2,3,2,5000.01,2,3,0,5,9
2,3,2,380,1,2,0,6,36
1,3,2,5000.01,5,3,0,9,8
2,2,6,5000.01,5,3,1,12,8
2,3,3,5000.01,1,3,0,11,8
2,3,1,240,1,2,1,10,35
2,3,4,0.01,4,1,0,9,35
2,2,6,48,1,2,0,6,35
2,3,6,5000.01,1,3,1,8,8
3,3,4,3000.01,4,2,0,6,33
2,3,2,2500.01,1,2,0,10,33
3,2,2,1000,2,2,0,4,33
2,3,3,5000,1,2,1,12,33
1,3,3,1000,3,2,0,10,33
1,3,3,5000.01,2,3,0,4,8
2,3,2,5000.01,4,3,0,6,8
1,2,2,5000.01,1,3,0,9,5
2,3,6,600,3,2,0,5,32
1,2,5,5000.01,1,3,1,10,5
3,3,5,1000,4,2,0,8,32
2,3,2,5000,2,2,0,8,32
3,3,6,5000.01,4,3,0,15,4
1,3,2,5000,4,2,0,5,32
3,2,5,5000.01,2,3,0,11,4
1,3,2,5000.01,4,3,0,7,2
3,3,5,3000,1,2,1,5,32
2,2,1,3000,3,2,0,11,32
2,3,2,951.91,4,2,0,15,32
2,3,3,1500,5,2,0,11,32
1,2,2,130,1,2,0,7,32
2,3,3,420,2,2,0,7,32
3,3,4,5002,1,3,1,12,3
1,3,1,1000,1,2,0,7,32
2,3,1,20000.01,4,4,0,6,7
3,3,2,20003.55,4,4,0,10,3
1,2,4,5017.55,4,3,0,11,14
3,3,3,5027,4,3,0,8,6
1,2,3,5035.1,4,3,0,7,7
2,3,2,3000,1,2,0,8,32
3,3,3,5035.37,2,3,0,4,9
2,3,4,5035.57,3,3,0,5,4
1,3,6,1500,2,2,1,14,32
2,3,1,5035.94,2,3,0,8,3
2,3,4,5037.5,2,3,0,7,5
2,2,5,20015.72,2,4,1,12,3
3,3,3,5040,4,3,0,7,29
2,2,4,20023.75,1,4,0,9,3
2,3,3,2000,2,2,0,12,31
2,3,5,4884.25,2,2,1,8,31
2,2,3,5040,1,3,0,5,4
1,3,3,5042.59,5,3,0,3,15
2,2,5,5044.06,4,3,0,10,11
2,3,5,5000,1,2,0,6,31
2,2,4,5044.45,4,3,1,11,6
2,3,4,5044.45,2,3,0,6,4
2,2,2,5044.45,4,3,0,5,4
3,3,4,500,1,2,0,8,31
2,3,2,0.01,4,1,0,12,31
3,2,3,5044.45,4,3,0,12,4
2,2,5,5044.46,3,3,1,14,7
1,3,6,2000,3,2,0,3,31
3,1,6,5044.46,2,3,0,8,5
2,2,4,5045.68,2,3,0,4,9
3,3,5,1452.75,4,2,0,4,31
3,3,2,500,4,2,0,12,31
2,3,6,5049.97,1,3,0,8,11
2,3,3,1500,1,2,0,6,31
3,2,1,2004,3,2,0,7,31
2,3,3,1177.7,4,2,0,6,31
2,2,2,1000,1,2,1,10,31
1,3,5,5050,2,3,0,7,29
1,2,5,5050,4,3,1,16,11
1,3,6,5050,2,3,0,5,8
1,1,5,5050,1,3,1,19,2
3,2,2,2839.94,5,2,0,1,31
1,3,3,3000,2,2,0,6,31
2,3,3,5000,4,2,0,8,31
2,3,6,5052.66,1,3,0,15,7
2,2,5,5053.82,1,3,1,10,6
2,2,4,5071.68,2,3,0,2,5
2,2,3,5085.33,1,3,0,5,8
2,3,4,1000,4,2,0,11,31
1,2,4,5087.76,4,3,0,3,7
1,3,2,5089.7,1,3,0,6,7
2,1,1,5089.7,4,3,0,10,6
1,3,3,20026.71,2,4,0,9,3
2,3,3,5000,4,2,0,7,31
2,3,3,1000,2,2,1,12,31
2,2,6,5089.71,4,3,0,3,6
2,3,1,4884.25,3,2,1,11,31
2,3,1,2000,4,2,0,7,31
1,2,3,5097.5,2,3,0,9,8
1,3,2,5100,3,3,0,10,11
2,3,6,180,2,2,0,6,30
2,3,4,1202.59,2,2,0,12,30
2,2,4,5100,4,3,0,8,11
2,3,2,5100,1,3,0,6,8
3,3,3,3000,2,2,0,13,30
2,3,1,750,2,2,0,9,30
3,3,6,1000,3,2,0,7,30
3,2,4,5100.01,4,3,0,7,11
2,3,5,2000,4,2,0,9,30
2,2,1,2201.6,2,2,0,4,30
2,3,1,1000,4,2,1,9,30
1,3,1,1000,3,2,0,5,30
1,3,3,5106.38,4,3,1,15,9
2,3,2,2500,4,2,0,7,30
